题号,题目,难度,频度
3,无重复字符的最长子串,2,963
146,LRU缓存机制,2,781
206,反转链表,1,688
215,数组中的第K个最大元素,2,537
25,K 个一组翻转链表,3,448
15,三数之和,2,419
53,最大子数组和,2,348
99990004,手撕快速排序,2,312
21,合并两个有序链表,1,301
5,最长回文子串,2,293
102,二叉树的层序遍历,2,283
1,两数之和,1,283
33,搜索旋转排序数组,2,277
200,岛屿数量,2,275
46,全排列,2,268
20,有效的括号,1,259
88,合并两个有序数组,1,257
121,买卖股票的最佳时机,1,249
103,二叉树的锯齿形层次遍历,2,245
236,二叉树的最近公共祖先,2,244
92,反转链表 II,2,240
141,环形链表,1,238
300,最长上升子序列,2,227
54,螺旋矩阵,2,226
23,合并K个排序链表,3,217
143,重排链表,2,212
415,字符串相加,1,207
56,合并区间,2,198
160,相交链表,1,191
42,接雨水,3,181
72,编辑距离,3,176
124,二叉树中的最大路径和,3,169
93,复原IP地址,2,166
1250,最长公共子序列,2,164
142,环形链表 II,2,163
82,删除排序链表中的重复元素 II,2,162
19,删除链表的倒数第N个节点,2,162
4,寻找两个正序数组的中位数,3,149
199,二叉树的右视图,2,145
94,二叉树的中序遍历,1,139
165,比较版本号,2,137
792,二分查找,1,136
232,用栈实现队列,1,133
22,括号生成,2,131
148,排序链表,2,130
31,下一个排列,2,129
239,滑动窗口最大值,3,128
69,x 的平方根,1,126
8,字符串转换整数 (atoi),2,124
2,两数相加,2,124
32,最长有效括号,3,124
70,爬楼梯,1,122
322,零钱兑换,2,118
43,字符串相乘,2,114
76,最小覆盖子串,3,113
41,缺失的第一个正数,3,108
105,从前序与中序遍历序列构造二叉树,2,102
100294,链表中倒数第k个节点,1,102
151,翻转字符串里的单词,2,100
78,子集,2,98
129,求根到叶子节点数字之和,2,95
155,最小栈,1,94
34,在排序数组中查找元素的第一个和最后一个位置,2,91
101,对称二叉树,1,90
394,字符串解码,2,88
104,二叉树的最大深度,1,86
39,组合总和,2,85
903,用 Rand7() 实现 Rand10(),2,84
144,二叉树的前序遍历,1,84
64,最小路径和,2,82
110,平衡二叉树,1,82
128,最长连续序列,2,81
48,旋转图像,2,80
122,买卖股票的最佳时机 II,1,79
240,搜索二维矩阵 II,2,79
98,验证二叉搜索树,2,79
543,二叉树的直径,1,79
221,最大正方形,2,79
234,回文链表,1,78
695,岛屿的最大面积,2,78
162,寻找峰值,2,76
14,最长公共前缀,1,76
662,二叉树最大宽度,2,74
113,路径总和 II,2,74
179,最大数,2,74
62,不同路径,2,71
198,打家劫舍,2,70
152,乘积最大子数组,2,70
112,路径总和,1,68
560,和为K的子数组,2,67
169,多数元素,1,66
227,基本计算器 II,2,66
83,删除排序链表中的重复元素,1,64
226,翻转二叉树,1,64
209,长度最小的子数组,2,64
718,最长重复子数组,2,64
139,单词拆分,2,63
24,两两交换链表中的节点,2,62
283,移动零,1,60
99990006,手撕堆排序,2,59
739,每日温度,2,58
138,复制带随机指针的链表,2,57
468,验证IP地址,2,57
153,寻找旋转排序数组中的最小值,2,56
297,二叉树的序列化与反序列化,3,56
207,课程表,2,55
224,基本计算器,3,55
460,LFU缓存,3,53
79,单词搜索,2,52
402,移掉K位数字,2,51
47,全排列 II,2,51
136,只出现一次的数字,1,49
11,盛最多水的容器,2,49
99990005,手撕归并排序,2,48
40,组合总和 II,2,48
16,最接近的三数之和,2,47
498,对角线遍历,2,47
100273,用两个栈实现队列,1,47
100318,数组中的逆序对,3,46
61,旋转链表,2,46
123,买卖股票的最佳时机 III,3,46
998,二叉树的完全性检验,2,46
55,跳跃游戏,2,46
100305,二叉搜索树与双向链表,2,46
26,删除排序数组中的重复项,1,45
74,搜索二维矩阵,2,44
7,整数反转,1,44
99990023,检测循环依赖,2,44
114,二叉树展开为链表,2,43
99990001,排序奇升偶降链表,2,43
59,螺旋矩阵 II,2,41
518,零钱兑换 II,2,41
572,另一个树的子树,1,40
100287,树的子结构,2,40
50,"Pow(x, n)",2,40
145,二叉树的后序遍历,2,40
75,颜色分类,2,40
91,解码方法,2,39
440,字典序的第K小数字,3,39
100301,最小的k个数,1,39
100333,二叉搜索树的第k大节点,1,39
442,数组中重复的数据,2,38
329,矩阵中的最长递增路径,3,38
135,分发糖果,3,37
125,验证回文串,1,37
100304,连续子数组的最大和,1,37
450,删除二叉搜索树中的节点,2,37
100277,青蛙跳台阶问题,1,36
10,正则表达式匹配,3,35
445,两数相加 II,2,35
45,跳跃游戏 II,2,35
100276,二维数组中的查找,1,35
328,奇偶链表,2,34
347,前 K 个高频元素,2,34
208,实现 Trie (前缀树),2,34
100274,斐波那契数列,1,34
99990002,圆环回原点问题,2,34
213,打家劫舍 II,2,33
295,数据流的中位数,3,33
230,二叉搜索树中第K小的元素,2,33
106,从中序与后序遍历序列构造二叉树,2,32
287,寻找重复数,2,31
96,不同的二叉搜索树,2,31
225,用队列实现栈,1,31
100343,圆圈中最后剩下的数字,1,31
384,打乱数组,2,30
120,三角形最小路径和,2,30
516,最长回文子序列,2,30
189,轮转数组,2,30
100291,调整数组顺序使奇数位于偶数前面,1,30
44,通配符匹配,3,29
678,有效的括号字符串,2,29
923,鸡蛋掉落,3,29
9,回文数,1,29
679,24 点游戏,3,28
611,有效三角形的个数,2,28
85,最大矩形,3,27
210,课程表 II,2,26
400,第N个数字,2,26
134,加油站,2,25
99990009,36进制加法,2,25
100293,顺时针打印矩阵,1,25
100288,二叉树的镜像,1,25
51,N皇后,3,24
264,丑数 II,2,24
395,至少有K个重复字符的最长子串,2,24
84,柱状图中最大的矩形,3,24
97,交错字符串,2,24
253,会议室 II,2,24
100310,数组中出现次数超过一半的数字,1,24
1046,最大连续1的个数 III,2,24
99990014,阿拉伯数字转中文数字,2,24
63,不同路径 II,2,23
316,去除重复字母,2,23
349,两个数组的交集,1,23
673,最长递增子序列的个数,2,23
100188,链表求和,2,23
71,简化路径,2,23
344,反转字符串,1,23
416,分割等和子集,2,22
443,压缩字符串,2,22
494,目标和,2,22
670,最大交换,2,22
279,完全平方数,2,22
100341,扑克牌中的顺子,1,22
100326,两个链表的第一个公共节点,1,22
18,四数之和,2,21
12,整数转罗马数字,2,21
459,重复的子字符串,1,21
111,二叉树的最小深度,1,21
168,Excel表列名称,1,21
1128,删除字符串中的所有相邻重复项,1,21
343,整数拆分,2,20
37,解数独,3,20
567,字符串的排列,2,20
556,下一个更大元素 III,2,20
378,有序矩阵中第K小的元素,2,20
100275,数组中重复的数字,1,20
1555,切披萨的方案数,3,20
154,寻找旋转排序数组中的最小值 II,3,19
337,打家劫舍 III,2,19
503,下一个更大元素 II,2,19
1122,最长重复子串,3,19
647,回文子串,2,19
100323,把数组排成最小的数,2,19
260,只出现一次的数字 III,2,19
100317,二叉树中和为某一值的路径,2,19
86,分隔链表,2,19
1013,斐波那契数,1,19
6,Z 字形变换,2,18
410,分割数组的最大值,3,18
301,删除无效的括号,3,18
758,将二叉搜索树转化为排序的双向链表,2,18
222,完全二叉树的节点个数,2,18
100278,旋转数组的最小数字,1,18
191,位1的个数,1,18
100329,在排序数组中查找数字 I,1,18
80,删除排序数组中的重复项 II,2,17
17,电话号码的字母组合,2,17
768,划分字母区间,2,17
674,最长连续递增序列,1,17
380,常数时间插入、删除和获取随机元素,2,17
167,两数之和 II - 输入有序数组,1,17
100,相同的树,1,17
860,设计循环队列,2,17
115,不同的子序列,3,17
100332,最长不含重复字符的子字符串,2,17
242,有效的字母异位词,1,17
557,反转字符串中的单词 III,1,17
912,按权重随机选择,2,16
692,前K个高频单词,2,16
77,组合,2,16
893,二叉树中所有距离为 K 的结点,2,16
257,二叉树的所有路径,1,16
108,将有序数组转换为二叉搜索树,1,16
188,买卖股票的最佳时机 IV,3,16
100315,二叉搜索树的后序遍历序列,2,16
268,缺失数字,1,16
1000046,最大子矩阵,3,16
131,分割回文串,2,15
1019,有序数组的平方,1,15
438,找到字符串中所有字母异位词,2,15
892,和至少为 K 的最短子数组,3,15
100314,从上到下打印二叉树 III,2,15
130,被围绕的区域,2,15
908,链表的中间结点,1,15
554,砖墙,2,15
1388,可被三整除的最大和,2,14
235,二叉搜索树的最近公共祖先,1,14
525,连续数组,2,14
817,设计哈希映射,1,14
13,罗马数字转整数,1,14
1185,山脉数组中查找目标值,3,14
99990022,IP地址与整数的转换,2,14
100300,复杂链表的复制,2,14
172,阶乘后的零,1,13
1000021,最小K个数,2,13
983,验证栈序列,2,13
1000015,汉诺塔问题,1,13
100161,字符串压缩,1,13
540,有序数组中的单一元素,2,13
107,二叉树的层次遍历 II,2,13
150,逆波兰表达式求值,2,13
204,计数质数,1,13
753,打开转盘锁,2,13
547,省份数量（原朋友圈）,2,13
354,俄罗斯套娃信封问题,3,13
109,有序链表转换二叉搜索树,2,13
28,实现 strStr(),1,13
680,验证回文字符串 Ⅱ,1,13
100306,栈的压入、弹出序列,2,13
100232,搜索旋转数组,2,13
386,字典序排数,2,13
617,合并二叉树,1,13
100283,重建二叉树,2,13
100298,反转链表,1,13
334,递增的三元子序列,2,12
1016,和可被 K 整除的子数组,2,12
948,排序数组,2,12
202,快乐数,1,12
233,数字 1 的个数,3,12
49,字母异位词分组,2,12
1036,腐烂的橘子,2,12
1660,千位分隔数,1,12
315,计算右侧小于当前元素的个数,3,12
1437,让字符串成为回文串的最少插入次数,3,12
407,接雨水 II,3,12
437,路径总和 III,2,12
99990021,字符串相减,2,12
100308,字符串的排列,2,12
100325,把数字翻译成字符串,2,12
100233,八皇后,3,12
171,Excel表列序号,1,12
938,最大为 N 的数字组合,3,11
238,除自身以外数组的乘积,2,11
628,三个数的最大乘积,1,11
658,找到 K 个最接近的元素,2,11
68,文本左右对齐,3,11
60,第k个排列,3,11
875,数组中的最长山脉,2,11
486,预测赢家,2,11
735,行星碰撞,2,11
73,矩阵置零,2,11
456,132模式,2,11
306,累加数,2,11
943,子数组的最小值之和,2,11
523,连续的子数组和,2,11
435,无重叠区间,2,11
149,直线上最多的点数,3,11
100316,第一个只出现一次的字符,1,11
764,N叉树的层序遍历,2,11
340,至多包含 K 个不同字符的最长子串,3,11
166,分数到小数,2,11
100309,1～n整数中1出现的次数,3,10
452,用最少数量的箭引爆气球,2,10
312,戳气球,3,10
36,有效的数独,2,10
941,按奇偶排序数组,1,10
29,两数相除,2,10
164,最大间距,3,10
1000026,LRU缓存,2,10
866,矩形重叠,1,10
223,矩形面积,2,10
67,二进制求和,1,10
100185,旋转矩阵,2,10
698,划分为k个相等的子集,2,10
581,最短无序连续子数组,1,10
133,克隆图,2,10
118,杨辉三角,1,10
1028,区间列表的交集,2,10
100279,矩阵中的路径,2,10
100284,剪绳子,2,10
137,只出现一次的数字 II,2,10
99,恢复二叉搜索树,3,10
405,数字转换为十六进制数,1,10
99990008,计算数组的小和,2,10
127,单词接龙,3,9
409,最长回文串,1,9
99990017,两个有序数组第k小的数,3,9
30,串联所有单词的子串,3,9
392,判断子序列,1,9
1337,设计跳表,3,9
1414,网格中的最短路径,3,9
451,根据字符出现频率排序,2,9
925,根据前序和后序遍历构造二叉树,2,9
1267,从链表中删去总和值为零的连续节点,2,9
159,至多包含两个不同字符的最长子串,2,9
785,基本计算器 III,3,9
100335,不用加减乘除做加法,1,9
784,二叉搜索树中的插入操作,2,9
252,会议室,1,9
100324,和为s的连续正数序列,1,9
117,填充每个节点的下一个右侧节点指针 II,2,9
35,搜索插入位置,1,8
321,拼接最大数,3,8
722,删除注释,2,8
381,O(1) 时间插入、删除和获取随机元素 - 允许重复,3,8
99990020,立方根,2,8
214,最短回文串,3,8
57,插入区间,3,8
273,整数转换英文表示,3,8
882,山脉数组的峰顶索引,1,8
231,2的幂,1,8
140,单词拆分 II,3,8
774,N叉树的最大深度,1,8
931,最大频率栈,3,8
173,二叉搜索树迭代器,2,8
778,重构字符串,2,8
99990024,双栈排序,2,8
100336,滑动窗口的最大值,3,8
907,爱吃香蕉的珂珂,2,8
530,二叉搜索树的最小绝对差,1,8
1249,快照数组,2,7
100296,打印从1到最大的n位数,1,7
421,数组中两个数的最大异或值,2,7
100339,n个骰子的点数,2,7
99990007,木头切割问题,2,7
480,滑动窗口中位数,3,7
1350,删除子文件夹,2,7
1000007,返回倒数第 k 个节点,1,7
1776,将 x 减到 0 的最小操作数,2,7
1415,学生们参加各科测试的次数,1,7
350,两个数组的交集 II,1,7
119,杨辉三角 II,1,7
99990003,求区间最小数乘区间和的最大值,3,7
789,数据流中的第K大元素,1,7
100286,合并两个排序的链表,1,7
1206,航班预订统计,2,7
100303,数据流中的中位数,3,7
1549,绝对差不超过限制的最长连续子数组,2,7
454,四数相加 II,2,7
99990013,中文数字转阿拉伯数字,2,7
716,最大栈,1,7
99990012,二叉树的下一个节点,2,7
100262,最小差,2,6
905,最长的斐波那契子序列的长度,2,6
382,链表随机节点,2,6
797,森林中的兔子,2,6
901,优势洗牌,2,6
954,环形子数组的最大和,2,6
652,寻找重复的子树,2,6
1087,最长等差数列,2,6
376,摆动序列,2,6
909,石子游戏,2,6
373,查找和最小的K对数字,2,6
365,水壶问题,2,6
951,分割数组,2,6
726,原子的数量,3,6
802,第 K 个最小的素数分数,3,6
1062,将数组分成和相等的三个部分,1,6
100344,股票的最大利润,2,6
632,最小区间,3,5
187,重复的DNA序列,2,5
331,验证二叉树的前序序列化,2,5
621,任务调度器,2,5
1130,最后一块石头的重量 II,2,5
832,二叉树剪枝,2,5
399,除法求值,2,5
325,和等于 k 的最长子数组长度,2,5
1465,分裂二叉树的最大乘积,2,5
52,N皇后 II,3,5
633,平方数之和,2,5
839,单词的压缩编码,2,5
1320,删除字符串中的所有相邻重复项 II,2,5
99990011,翻转URL字符串里的单词,2,5
212,单词搜索 II,3,5
132,分割回文串 II,3,5
205,同构字符串,1,5
387,字符串中的第一个唯一字符,1,5
539,最小时间差,2,5
237,删除链表中的节点,1,5
311,稀疏矩阵的乘法,2,5
473,火柴拼正方形,2,5
812,旋转字符串,1,5
1056,在 D 天内送达包裹的能力,2,5
714,买卖股票的最佳时机含手续费,2,5
1000011,迷路的机器人,2,5
1539,对角线遍历 II,2,5
27,移除元素,1,5
241,为运算表达式设计优先级,2,5
1450,删除给定值的叶子节点,2,5
1222,删除被覆盖区间,2,5
1000006,一次编辑,2,5
303,区域和检索 - 数组不可变,1,5
393,UTF-8 编码验证,2,5
100199,递归乘法,2,5
513,找树左下角的值,2,5
694,不同岛屿的数量,2,5
801,判断二分图,2,5
1096,两个非重叠子数组的最大和,2,5
100292,二进制中1的个数,1,5
89,格雷编码,2,5
100337,队列的最大值,2,5
765,序列化和反序列化 N 叉树,3,5
100328,翻转单词顺序,1,5
1586,删掉一个元素以后全为 1 的最长子数组,2,5
404,左叶子之和,1,5
449,序列化和反序列化二叉搜索树,2,5
1478,最多可以参加的会议数目,2,5
100297,正则表达式匹配,3,5
100331,0～n-1中缺失的数字,1,5
986,给定数字能组成的最大时间,1,4
256,粉刷房子,1,4
100167,链表相交,1,4
747,使用最小花费爬楼梯,1,4
1538,可获得的最大点数,2,4
398,随机数索引,2,4
1316,交替打印字符串,2,4
1092,节点与其祖先之间的最大差值,2,4
1380,统计封闭岛屿的数目,2,4
292,Nim 游戏,1,4
309,最佳买卖股票时机含冷冻期,2,4
58,最后一个单词的长度,1,4
1029,二叉树的垂序遍历,2,4
856,连续整数求和,3,4
1000027,计算器,2,4
1187,交替打印FooBar,2,4
269,火星词典,3,4
1371,移除无效的括号,2,4
1091,子树的最大平均值,2,4
1000022,最长单词,2,4
1025,最低票价,2,4
1362,飞机座位分配概率,2,4
274,H 指数,2,4
807,自定义字符串排序,2,4
116,填充每个节点的下一个右侧节点指针,2,4
697,数组的度,1,4
1018,三角形的最大周长,1,4
823,数组的均值分割,3,4
538,把二叉搜索树转换为累加树,1,4
100281,机器人的运动范围,2,4
1007,连续差相同的数字,2,4
326,3的幂,1,4
1081,视频拼接,2,4
100231,硬币,2,4
1261,单字符重复子串的最大长度,2,4
147,对链表进行插入排序,2,4
217,存在重复元素,1,4
1352,规划兼职工作,3,4
825,保持城市天际线,2,4
687,最长同值路径,2,4
1022,不同路径 III,3,4
90,子集 II,2,4
100356,部分排序,2,4
1008,监控二叉树,3,4
958,按奇偶排序数组 II,1,4
582,杀死进程,2,4
99990019,判断一个点是否在三角形内,2,4
280,摆动排序,2,4
744,网络延迟时间,2,4
783,二叉搜索树中的搜索,1,4
324,摆动排序 II,2,4
203,移除链表元素,1,4
369,给单链表加一,2,4
100299,删除链表的节点,1,4
318,最大单词长度乘积,2,3
1197,解析布尔表达式,3,3
971,最短的桥,2,3
417,太平洋大西洋水流问题,2,3
1039,找到小镇的法官,1,3
1646,第 k 个缺失的正整数,1,3
100334,丑数,2,3
1184,拼车,2,3
65,有效数字,3,3
653,两数之和 IV - 输入 BST,1,3
1000090,最小跳跃次数,3,3
455,分发饼干,1,3
787,滑动谜题,3,3
216,组合总和 III,2,3
541,反转字符串 II,1,3
583,两个字符串的删除操作,2,3
593,有效的正方形,2,3
808,匹配子序列的单词数,2,3
922,可能的二分法,2,3
816,设计哈希集合,1,3
1044,查找常用字符,1,3
940,水果成篮,2,3
1765,合并两个链表,2,3
1107,最少交换次数来组合所有的 1,2,3
314,二叉树的垂直遍历,2,3
391,完美矩形,3,3
490,迷宫,2,3
474,一和零,2,3
740,删除与获得点数,2,3
1229,颜色交替的最短路径,2,3
505,迷宫 II,2,3
